,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
(kJ)","Protein 
(g)","Fat, total 
(g)","Fat, saturated
(g)","Carbohydrate
(g)","Sugars
(g)","Sodium (Na) 
(mg)"
F002258,"Cardamom seed, dried, ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking","1,240",10.8,6.7,2.2,34.4,4.4,18
F002963,"Cinnamon, dried, ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.","1,006",4,1.2,0.62,27.5,2.2,10
F002893,"Chilli (chili), dried, ground","Dried and ground red pepper, characterised by a hot sensation when consumed as a spice.","1,231",12.3,14.3,2.06,12.9,7.2,68
F002970,"Cloves, dried, ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.","1,391",6,13,5.49,31.6,2.4,277
F003190,"Coriander seed, dried, ground","Dried and ground fruit or seed of Coriandrum sativum, used as a spice.","1,347",12.4,17.8,1.03,8.4,2.4,35
F003327,"Cumin (cummin) seed, dried, ground","Dried and ground fruit or seeds of Cuminum cymimum, used as a spice.","1,784",17.8,22.3,1.73,33.7,2.2,168
F003337,Curry powder,"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric.","1,234",14.3,14,1.64,2.8,2.8,52
F003821,"Fenugreek seed, dried",Dried fenugreek seeds used as a spice.,"1,080",23,6.4,1.03,4.2,0.6,67
F004210,"Ginger, dried, ground","Dried and ground rhizome of Zingiber officinale, used as a spice.","1,400",9,4.2,2.2,57.5,3.4,27
F004365,"Herbs, mixed, dried","Dried herbs including thyme, rosemary, oregano and sage, used to flavour various dishes.","1,235",8.4,9.9,4.81,23.5,6.8,35
F005972,Mustard powder,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.","2,294",29.4,39.5,2,17.2,5,3
F006118,"Nutmeg, dried, ground","Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice.","2,093",5.8,36.3,30.51,28.5,3,16
F006281,"Oregano, dried","Dried, and sometimes ground, leaves of Oreganum vulgare, used as a culinary herb.","1,100",9,4.3,1.46,26.4,4.1,25
F006316,"Paprika, dry powder",Dried and ground fruit of red capsicums (sweet red peppers).,"1,321",14.1,12.9,1.9,19.1,10.3,68
F006618,"Pepper, black, ground","Dried and ground unripe fruit of the pepper tree (Piper nigrum), used as a spice.","1,156",10.4,3.3,1.39,38.6,0.6,20
F007715,"Rosemary, dried",Dried woody herb with fragrant needle-like green leaves on small stalks.,"1,334",4.9,15.2,7.05,20.4,19.6,50
F011009,"Saffron, dried, threads or ground","Dried floral stigma of the plant Crocus sativus, used as a spice. May be intact threads or ground.","1,487",11.4,5.8,1.59,61.5,44.1,148
F007726,"Sage, dried",Dry leaves of Salvia officinalis used as a herb.,"1,322",10.6,12.8,7.03,20.4,1.7,11
F011011,"Tarragon, dried",Dried aromatic green leafy herb with a subtle anise-like flavour.,"1,376",22.8,7.2,1.88,38.9,8.2,62
F009160,"Thyme, dried, ground","Dried, and sometimes ground, leaves of Thymus vulgaris, used as a culinary herb.","1,184",9.1,7.4,3.7,26.9,1.7,55
F009335,"Turmeric, dried, ground","Dried and ground rhizome of Curcuma domestica or C. longa, used as a spice.","1,222",9.7,3.2,1.88,44.4,3.2,27
F009533,"Wattle seed (acacia), ground",Dried and ground seeds of the Acacia species native to Australia.,"1,155",20.6,8,2.13,6.2,0.7,98
F007870,"Salt substitute, potassium chloride","Product sold as a replacement for regular table salt, containing predominantly potassium chloride.",0,0,0,0,0,0,33
F007878,"Salt, table, iodised","Fine granules of sodium chloride sold for direct addition to foods, to which iodine has been added in the form of potassium iodate or iodide. May contain free-flowing agents.",0,0,0,0,0,0,"38,168"
F007879,"Salt, table, non-iodised",Fine granules of sodium chloride sold for direct addition to foods. May contain free-flowing agents and small amounts of other minerals such as potassium.,0,0,0,0,0,0,"38,178"
F008933,"Stock, dry powder or cube",Concentrated meat stock that is dried and supplied as a powder or compressed into a cube. Contains ingredients such as salt and flavours.,904,11.3,8.9,4.38,22.5,4.3,"18,400"
F008936,"Stock, liquid, all flavours (except fish), prepared from commercial powder or cube","Savoury liquid prepared by diluting commercial stock powder or cubes with water. Can be consumed alone, or used as an ingredient to flavour recipes. Contains ingredients such as salt and flavours.",18,0.2,0.2,0.08,0.4,0.1,362
F009072,"Taco seasoning mix, chilli-based","Powdered product intended for addition to meat and other ingredients to prepare Mexican-style dishes such as taco filling. Typical ingredients include salt, sugar, maize starch, spices, chilli and citric acid.","1,371",6.2,4.8,1.28,58.1,28.5,"6,238"
F000247,"Baking powder, dry powder","Fine white powder used to chemically leaven baked goods such as cakes. Composed of 50% cream of tartar, 25% baking soda (bicarb), and 25% starch.",365,0.8,0.3,0.05,19.8,0,"6,868"
F000248,"Baking soda (bicarbonate), dry powder",Fine white powder used to chemically leaven baked goods such as cakes.,0,0,0,0,0,0,"27,360"
F003250,"Cream of tartar, dry powder","Purified, crystallised potassium bitartrate, used as the acid component of some fast acting baking powder mixtures.",2,0,0,0,0,0,52
F005158,"Lecithin, soy, granules","Phospholipid-rich granular extract of soy beans, often used in baking and as an emulsifier, as purchased from supermarkets for domestic use.","2,628",6,62.4,14.5,4.9,4.4,11
F004196,"Gelatine, all types","Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts.","1,449",84.4,0.4,0.19,0,0,330
F009351,"Vanilla, artificial or imitation","Solution containing the substance vanillin, used as a flavouring agent.",245,0,0,0,14.4,14.4,3
F009350,Vanilla bean extract,"Alcoholic extract of the vanilla bean (Vanilla plantifolia or V. tahitensis), used as a flavouring agent.","1,216",0.1,0.1,0.02,12.6,12.6,9
F006613,"Pectin, powder, unsweetened","Fine white or pale yellow powder derived from fruit. Used as a thickening agent in food, and to give jelly-like consistency to jams and marmalades. Nutrient data may differ in commercial preparations.",725,0.4,0.1,0.03,0,0,450
F009606,"Yeast, dry powder","A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries.","1,126",36.4,5,0.75,6.3,0,170
F000996,"Beer, high alcohol (5% v/v & above)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using warm temperature fermentation. Greater than or equal to 5% v/v alcohol.",178,0.5,0,0,2.1,0.2,4
F000994,"Beer, full strength (alcohol 4-4.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), using low fermentation temperatures. Alcohol content between 4-4.9% v/v alcohol.",154,0.4,0,0,2.3,0,4
F001006,"Beer, mid-strength (alcohol 3-3.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as mid strength. Alcohol content between 3-3.9% v/v alcohol.",132,0.3,0,0,2.2,0,3
F001004,"Beer, light (alcohol 1-2.9% v/v)","Alcoholic beverage characterised by the presence of hops or preparations of hops, prepared by the yeast fermentation of an aqueous extract of malted or unmalted cereals (usually barley), so as to restrict alcohol formation or to remove alcohol after fermentation. Products are described on label as Light or Lite. Alcohol content between 1- less than 3% v/v alcohol.",101,0.2,0,0,2.2,0,3
F000051,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products.",892,0,0,0,0.1,0.1,3
F000050,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products, that has been heated until a large proportion of alcohol has evaporated.",303,0,0,0,0.3,0.3,2
F002955,"Cider, apple (alcohol approximately 4-5% v/v)","Alcoholic beverage prepared from fermented apples with significant residual sugars. Includes cider produced in Australia, New Zealand and Denmark. Approximately 4% alcohol.",217,0,0,0,5.6,5.6,3
F005701,Mirin,"Commercially prepared rice based sweet cooking wine, commonly used in Japanese style cooking.",733,0.3,0,0,26.6,26.6,3
F009572,"Wine, red, cabernet sauvignon","Alcoholic beverage produced by fermentation of grape juice from the cabernet sauvignon grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia. Approximately 12% v/v alcohol.",336,0.3,0,0,0.2,0.2,4
F009574,"Wine, red, merlot","Alcoholic beverage produced by fermentation of grape juice from the merlot grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.",335,0.3,0,0,0.4,0.4,5
F009575,"Wine, red, pinot noir","Alcoholic beverage produced by fermentation of grape juice from the pinot noir grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.",325,0.2,0,0,0.2,0.2,2
F009577,"Wine, red, shiraz","Alcoholic beverage produced by fermentation of grape juice from the shiraz grape, with prolonged grape skin contact to produce wine of a deep red colour. Includes wine produced in Australia only. Approximately 12% v/v alcohol.",347,0.2,0,0,0.2,0.2,7
F009578,"Wine, red, sparkling","Alcoholic beverage produced by fermentation of grape juice from red wine grapes, retaining significant quantities of dissolved carbon dioxide. Approximately 13% v/v alcohol.",345,0.2,0,0,2,2,7
F009573,"Wine, red, cooked","Alcoholic beverage produced by fermentation of grape juice with prolonged contact with grape skins, that has been heated until the majority of alcohol has evaporated.",121,0.3,0,0,0.2,0.2,5
F009579,"Wine, rose",Alcoholic beverage produced by fermentation of grape juice so that the wine has a pale pink colour. Includes wine produced in Australia and New Zealand. Approximately 13% v/v alcohol.,295,0.2,0,0,0.7,0.7,5
F009583,"Wine, white, sauvignon blanc","Alcoholic beverage produced by fermentation of grape juice from the sauvignon blanc grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia and New Zealand. Approximately 12% v/v alcohol.",301,0.2,0,0,0.1,0.1,2
F009584,"Wine, white, semillon","Alcoholic beverage produced by fermentation of grape juice from the semillon grape, produced with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia only. Approximately 12% v/v alcohol.",275,0.2,0,0,0.2,0.2,6
F009582,"Wine, white, chardonnay","Alcoholic beverage produced by fermentation of grape juice produced from the chardonnay grape, with little contact with grape skins so that the wine is pale yellow in colour with little sugars remaining. Includes wine produced in Australia. Approximately 13% v/v alcohol.",315,0.3,0,0,0.3,0.3,4
F009586,"Wine, white, riesling","Alcoholic beverage prepared by fermentation of grape juice produced from the riesling grape, with little contact with grape skins so that the wine is pale yellow in colour with some sugars remaining. Includes wine produced in Australia. Approximately 12% v/v alcohol.",298,0.2,0,0,0.4,0.4,7
F009580,"Wine, white, cooked","Alcoholic beverage produced by fermentation of grape juice with little contact with grape skins, then heated until the majority of alcohol has evaporated.",107,0.2,0,0,0.3,0.3,5
F009590,"Wine, white, sparkling",Alcoholic beverage prepared by fermentation of grape juice produced with little grape skin contact so that the wine is pale yellow in colour and retains significant quantities of dissolved carbon dioxide. Includes wine described as brut or semi-brut in style produced in Australia and France. Approximately 12% v/v alcohol.,312,0.2,0,0,1,1,2
F009592,"Wine, white, sweet dessert style","Alcoholic beverage prepared by fermentation of grape juice with little grape skin contact, so that the wine is golden in colour and retains a high level of residual sugars (approximately 10% sugars). Includes botrytised wine produced in Australia and New Zealand. Approximately 10% v/v alcohol.",517,0.4,0,0,14.7,14.7,13
F009566,"Wine, fortified, port","Sweet, alcoholic beverage prepared from fermented grape juice to which additional alcohol is added. Approximately 16% v/v alcohol.",614,0.2,0,0,12.4,12.4,15
F009567,"Wine, fortified, sherry, dry style (approximately 1% sugars)",Fermented grape juice to which additional alcohol is added and with a low sugars content (approximately 1%). Approximately 18% v/v alcohol.,439,0.1,0,0,1.2,1.2,19
F009568,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",Fermented grape juice to which additional alcohol is added. Approximately 14% v/v alcohol.,590,0.2,0,0,11.1,11.1,18
F001029,"Beverage base, chocolate flavour, added vitamins & minerals (Milo)","Dry beverage base used to prepare a chocolate flavoured beverage with the addition of milk. Typical ingredients include malted cereals, milk solids and cocoa. Contains added iron, calcium and vitamins B2, B3, B6, B12, C & D. Milo brand is an example of such a product.","1,654",12.4,9.9,6.57,60.1,43.7,100
F001032,"Beverage base, chocolate flavour, unfortified (Nesquik brand)","Dry beverage base used to prepare a chocolate flavoured beverage with the addition of milk. Typical ingredients include sugar, cocoa, soy lecithin and salt. No added vitamins or minerals.","1,655",5.3,2.8,1.38,83.2,81,0
